Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
KESELYŰ UTCA,stimuli/scenes/106a.jpg,scene,right,Hippopolis,0,stimuli/scenes/106a.jpg,stimuli/scenes/106b.jpg,stimuli/objects/023b.jpg,stimuli/objects/023a.jpg,stimuli/scenes/106a.jpg,lure,dist2,dist1,target
FOLYÓ UTCA,stimuli/scenes/092a.jpg,scene,right,Hippopolis,0,stimuli/scenes/092a.jpg,stimuli/scenes/092b.jpg,stimuli/scenes/092a.jpg,stimuli/scenes/112b.jpg,stimuli/scenes/112a.jpg,lure,target,dist2,dist1
FÉSZEK UTCA,stimuli/scenes/001a.jpg,scene,right,Hippopolis,0,stimuli/scenes/001a.jpg,stimuli/scenes/001a.jpg,stimuli/objects/035b.jpg,stimuli/objects/035a.jpg,stimuli/scenes/001b.jpg,target,dist2,dist1,lure
SIVATAG UTCA,stimuli/objects/012a.jpg,object,left,Hippopolis,2,stimuli/scenes/111a.jpg,stimuli/scenes/111b.jpg,stimuli/scenes/049b.jpg,stimuli/scenes/111a.jpg,stimuli/scenes/049a.jpg,lure,dist2,target,dist1
MOSODA UTCA,stimuli/objects/077a.jpg,object,left,Hippopolis,1,stimuli/objects/065a.jpg,stimuli/objects/065b.jpg,stimuli/objects/067a.jpg,stimuli/objects/065a.jpg,stimuli/objects/067b.jpg,lure,dist1,target,dist2
TOLLTARTÓ UTCA,stimuli/scenes/112a.jpg,scene,right,Hippopolis,0,stimuli/scenes/112a.jpg,stimuli/scenes/112a.jpg,stimuli/scenes/112b.jpg,stimuli/objects/043b.jpg,stimuli/objects/043a.jpg,target,lure,dist2,dist1
MÁLNA UTCA,stimuli/objects/047a.jpg,object,left,Hippopolis,2,stimuli/scenes/091a.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/111b.jpg,stimuli/scenes/111a.jpg,lure,target,dist2,dist1
LOVAGLÁS UTCA,stimuli/objects/102a.jpg,object,left,Hippopolis,2,stimuli/scenes/060a.jpg,stimuli/scenes/060a.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/060b.jpg,stimuli/scenes/120a.jpg,target,dist2,lure,dist1
GYŰRŰ UTCA,stimuli/objects/084a.jpg,object,left,Hippopolis,1,stimuli/objects/075a.jpg,stimuli/objects/075a.jpg,stimuli/objects/068a.jpg,stimuli/objects/068b.jpg,stimuli/objects/075b.jpg,target,dist1,dist2,lure
VÁSÁR UTCA,stimuli/scenes/116a.jpg,scene,right,Hippopolis,2,stimuli/objects/095a.jpg,stimuli/objects/095a.jpg,stimuli/objects/055b.jpg,stimuli/objects/095b.jpg,stimuli/objects/055a.jpg,target,dist2,lure,dist1
VASALÓ UTCA,stimuli/objects/116a.jpg,object,left,Hippopolis,0,stimuli/objects/116a.jpg,stimuli/objects/028b.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,stimuli/objects/028a.jpg,dist2,target,lure,dist1
HARCSA UTCA,stimuli/objects/099a.jpg,object,left,Hippopolis,1,stimuli/objects/086a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/074a.jpg,stimuli/objects/086a.jpg,stimuli/objects/086b.jpg,dist2,dist1,target,lure
KOSÁR UTCA,stimuli/scenes/063a.jpg,scene,right,Hippopolis,0,stimuli/scenes/063a.jpg,stimuli/scenes/063a.jpg,stimuli/scenes/001b.jpg,stimuli/scenes/001a.jpg,stimuli/scenes/063b.jpg,target,dist2,dist1,lure
SZALVÉTA UTCA,stimuli/objects/081a.jpg,object,left,Hippopolis,1,stimuli/objects/088a.jpg,stimuli/scenes/038b.jpg,stimuli/objects/088a.jpg,stimuli/objects/088b.jpg,stimuli/scenes/038a.jpg,dist2,target,lure,dist1
MARTINI UTCA,stimuli/objects/008a.jpg,object,left,Hippopolis,0,stimuli/objects/008a.jpg,stimuli/scenes/047a.jpg,stimuli/scenes/047b.jpg,stimuli/objects/008a.jpg,stimuli/objects/008b.jpg,dist1,dist2,target,lure
HENTES UTCA,stimuli/objects/110a.jpg,object,left,Hippopolis,2,stimuli/scenes/021a.jpg,stimuli/scenes/021b.jpg,stimuli/objects/069b.jpg,stimuli/objects/069a.jpg,stimuli/scenes/021a.jpg,lure,dist2,dist1,target
KÖTÉL UTCA,stimuli/scenes/110a.jpg,scene,right,Hippopolis,2,stimuli/objects/107a.jpg,stimuli/objects/006b.jpg,stimuli/objects/006a.jpg,stimuli/objects/107a.jpg,stimuli/objects/107b.jpg,dist2,dist1,target,lure
MAJOM UTCA,stimuli/scenes/056a.jpg,scene,right,Hippopolis,1,stimuli/scenes/071a.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/105a.jpg,dist2,lure,target,dist1
ÁRNYÉK UTCA,stimuli/objects/024a.jpg,object,left,Hippopolis,2,stimuli/scenes/120a.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/028b.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/028a.jpg,lure,dist2,target,dist1
FÜZET UTCA,stimuli/objects/011a.jpg,object,left,Hippopolis,2,stimuli/scenes/087a.jpg,stimuli/scenes/087b.jpg,stimuli/scenes/087a.jpg,stimuli/scenes/101b.jpg,stimuli/scenes/101a.jpg,lure,target,dist2,dist1
MÁRVÁNY UTCA,stimuli/objects/060a.jpg,object,left,Hippopolis,1,stimuli/objects/037a.jpg,stimuli/objects/037b.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/objects/037a.jpg,lure,dist1,dist2,target
CUKOR UTCA,stimuli/scenes/081a.jpg,scene,right,Hippopolis,1,stimuli/scenes/097a.jpg,stimuli/objects/009b.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/097b.jpg,stimuli/objects/009a.jpg,dist2,target,lure,dist1
MOCSÁR UTCA,stimuli/scenes/067a.jpg,scene,right,Hippopolis,1,stimuli/scenes/074a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/055b.jpg,stimuli/scenes/055a.jpg,stimuli/scenes/074a.jpg,lure,dist2,dist1,target
POGÁCSA UTCA,stimuli/scenes/045a.jpg,scene,right,Camponello,2,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/objects/040b.jpg,stimuli/objects/036a.jpg,stimuli/objects/040a.jpg,lure,dist2,target,dist1
PÉKSÉG UTCA,stimuli/objects/072a.jpg,object,left,Camponello,0,stimuli/objects/072a.jpg,stimuli/objects/113b.jpg,stimuli/objects/072b.jpg,stimuli/objects/072a.jpg,stimuli/objects/113a.jpg,dist2,lure,target,dist1
ÁLOM UTCA,stimuli/scenes/018a.jpg,scene,right,Camponello,0,stimuli/scenes/018a.jpg,stimuli/scenes/018a.jpg,stimuli/objects/111a.jpg,stimuli/objects/111b.jpg,stimuli/scenes/018b.jpg,target,dist1,dist2,lure
SZOBOR UTCA,stimuli/objects/054a.jpg,object,left,Camponello,0,stimuli/objects/054a.jpg,stimuli/objects/054a.jpg,stimuli/scenes/064b.jpg,stimuli/objects/054b.jpg,stimuli/scenes/064a.jpg,target,dist2,lure,dist1
PÁRNA UTCA,stimuli/scenes/048a.jpg,scene,right,Camponello,0,stimuli/scenes/048a.jpg,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/scenes/048a.jpg,stimuli/scenes/048b.jpg,dist1,dist2,target,lure
KATONA UTCA,stimuli/scenes/104a.jpg,scene,right,Camponello,2,stimuli/objects/002a.jpg,stimuli/objects/039b.jpg,stimuli/objects/002a.jpg,stimuli/objects/039a.jpg,stimuli/objects/002b.jpg,dist2,target,dist1,lure
PIZSAMA UTCA,stimuli/scenes/051a.jpg,scene,right,Camponello,1,stimuli/scenes/031a.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,stimuli/scenes/031b.jpg,stimuli/scenes/031a.jpg,dist1,dist2,lure,target
RÓZSA UTCA,stimuli/scenes/117a.jpg,scene,right,Camponello,1,stimuli/scenes/026a.jpg,stimuli/objects/018b.jpg,stimuli/scenes/026a.jpg,stimuli/objects/018a.jpg,stimuli/scenes/026b.jpg,dist2,target,dist1,lure
ASZTAL UTCA,stimuli/objects/020a.jpg,object,left,Camponello,0,stimuli/objects/020a.jpg,stimuli/scenes/089a.jpg,stimuli/objects/020a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/089b.jpg,dist1,target,lure,dist2
TÜKÖR UTCA,stimuli/scenes/041a.jpg,scene,right,Camponello,0,stimuli/scenes/041a.jpg,stimuli/objects/033b.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/objects/033a.jpg,dist2,lure,target,dist1
ECSET UTCA,stimuli/objects/089a.jpg,object,left,Camponello,1,stimuli/objects/092a.jpg,stimuli/scenes/002b.jpg,stimuli/objects/092b.jpg,stimuli/scenes/002a.jpg,stimuli/objects/092a.jpg,dist2,lure,dist1,target
HEGESZTŐ UTCA,stimuli/scenes/093a.jpg,scene,right,Camponello,0,stimuli/scenes/093a.jpg,stimuli/scenes/093b.jpg,stimuli/scenes/093a.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/086b.jpg,lure,target,dist1,dist2
HEGEDŰ UTCA,stimuli/objects/118a.jpg,object,left,Camponello,0,stimuli/objects/118a.jpg,stimuli/objects/074a.jpg,stimuli/objects/118b.jpg,stimuli/objects/074b.jpg,stimuli/objects/118a.jpg,dist1,lure,dist2,target
VITORLA UTCA,stimuli/objects/053a.jpg,object,left,Camponello,0,stimuli/objects/053a.jpg,stimuli/scenes/059a.jpg,stimuli/objects/053a.jpg,stimuli/objects/053b.jpg,stimuli/scenes/059b.jpg,dist1,target,lure,dist2
BÚJÓCSKA UTCA,stimuli/scenes/066a.jpg,scene,right,Camponello,0,stimuli/scenes/066a.jpg,stimuli/scenes/066a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/022b.jpg,stimuli/objects/022a.jpg,target,lure,dist2,dist1
SZIKLA UTCA,stimuli/objects/066a.jpg,object,left,Camponello,0,stimuli/objects/066a.jpg,stimuli/objects/066b.jpg,stimuli/objects/108b.jpg,stimuli/objects/066a.jpg,stimuli/objects/108a.jpg,lure,dist2,target,dist1
KESZTYŰ UTCA,stimuli/scenes/022a.jpg,scene,right,Camponello,0,stimuli/scenes/022a.jpg,stimuli/scenes/118b.jpg,stimuli/scenes/022a.jpg,stimuli/scenes/118a.jpg,stimuli/scenes/022b.jpg,dist2,target,dist1,lure
LÁNDZSA UTCA,stimuli/scenes/029a.jpg,scene,right,Camponello,0,stimuli/scenes/029a.jpg,stimuli/scenes/029a.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/020b.jpg,target,dist1,lure,dist2
